0204470002001994210355600000155PRIMOSALE CAPRA G.200 CA 3B LATTE        0000000028000000100P000000A
0100880001000299212962000000155CAVOLFIORE VERDE                         0000000004000000100P000000A
0700030007000790210008000000155VONGOLA (LUPINO)                         0000000012000000100P000000A
0700130007002290210020000000155NASELLO          ***                     0000000012000000100P000000A
0700150007004990210022000000155RANA PESCATRICE                          0000000012000000100P000000A
0700210007002290210125000000155SPINAROLO                                0000000012000000100P000000A
0700240007001690210030000000155FRITTURA DI PESCE                        0000000012000000100P000000A
0700440007000950210070000000155GALLINELLA                               0000000012000000100P000000A
0700580007001990210110000000155LUMACHINO                                0000000012000000100P000000A
0700910007002590210108000000155FILETTI DI SALMONE                       0000000012000000100P000000A
0701430007002390210168000000155MAZZANCOLLA II°                          0000000012000000100P000000A
0701610007001390219802000000155OSTRICA CONCAVA (SELEZIONE SPEZIA)       0000000012000000100P000000A
0702110007002490211132000000155CAPESANTE MEZZO GUSCIO                   0000000012000000100P000000A
0702630007001790212624000000155PESCE SERRA                              0000000012000000100P000000A
0703670007002290210163700000155CALAMARO 100/300                         0000000012000000100P000000A
0710030007000790212693000000155VONGOLA LUPINO TAKE AWAY                 0000000012000000100P000000A
0710150007004990211458000000155PESCATRICE 1/2 TAKE AWAY                 0000000012000000100P000000A
0710910007002590212785000000155FILETTO SALMONE TAKE AWAY                0000000012000000100P000000A
0205510002001499219030000000155BUGIA PIATTA                             0030000006000000100P000000A
0402020004002190217039000000155SPALLA VITELLONE S/O                     0000000008000000100P000000A
0402120004001390217035000000155PANCIA VITELLONE S/O                     0000000008000000100P000000A
0402130004001090217034000000155PANCIA VITELLONE C/O.                    0000000008000000100P000000A
0402160004001990217156000000155SABRINA                                  0000000008000000100P000000A
0402320004001490216803000000155CODE DI BOVINO ADULTO             (242   0000000008000000100P000000A
0402430004001490217255000000155ARROTOLATO BOVINO ADULTO.                0000000008000000100P000000A
0403080004001390217105000000155SPIEDINI MAIALE                          0000000008000000100P000000A
0403790004000000000000000000055                                         0000000000000000100P000000D
0406090004001990210408200000155CAMPANELLO VITELLO                       0000000008000000100P000000A
0406100004002090211685000000155FETTINE SCELTISSIME BOVINO ADULTO.       0000000008000000100P000000A
0406110004001990211684000000155FETTINE SCELTE BOVINO ADULTO.            0000000008000000100P000000A
0406120004002490211794000000155FETTINE SCELTISSIME VITELLO.             0000000008000000100P000000A
0406130004002190211793000000155FETTINE SCELTE VITELLO.                  0000000008000000100P000000A
0407770004001090217097000000155COPPA MAIALE S/O                         0000000008000000100P000000A
0407830004000790211777000000155COTENNA SUINO                            0000000008000000100P000000A
0408140004002190211902000000155ARROSTO SCELTO VITELLO.                  0000000008000000100P000000A
0408350004002090212157000000155REALE DI VITELLO                         0000000008000000100P000000A
0408400004001490212164000000155CODE DI VITELLO.                         0000000008000000100P000000A
0408430004001990212172000000155COSCIA D'AGNELLO NAZIONALE               0000000008000000100P000000A
0408450004002290212174000000155COSTOLETTE D'AGNELLO NAZIONALE           0000000008000000100P000000A
0408470004000350212176000000155TESTINA D'AGNELLO                        0000000008000000100M000000A
0700050007000590210011000000155SARDINE                                  0000000012000000100P000000A
