400153000100009080569774708501166Treccia con cioccola|to                  0000000000000000100M000000A
200124000100219000000000000001166PIZZA MARZO         |                    0000000000000000100@000000A
000126000100000080569774707371166Focaccia Rustica    |                    0000000000000000100@000000A
100126000100119022201260000001166Focaccia Rustica    |                    0000000000000000100@000000A
000127000100149580569774707511166Bastoncino nduja    |                    0000000000000000100@000000A
300127000100149080569774707511166Bastoncino nduja    |                    0000000000000000100@000000A
100128000100159000000000000001166Focaccia alla nutell|a                   0000000000000000100@000000A
200129000100219000000000000001166PIZZA APRILE        |                    0000000000000000100@000000A
100130000100189022201300000001166Focaccine al carbone|                    0000000000000000100@000000A
100131000100189022201310000001166Focaccine alla curcu|ma                  0000000000000000100@000000A
100132000100189022201320000001166Focaccine agli spina|ci                  0000000000000000100@000000A
100133000100189022201330000001166Focaccine alla barba|bietola             0000000000000000100@000000A
200134000100169022201340000001166Crostata Albicocca  |                    0000000000000000100@000000A
200135000100219000000000000001166PIZZA maggio        |                    0000000000000000100@000000A
200136000100219000000000000001166Focaccia Rustica Cap|rese                0000000000000000100@000000A
100137000100269000000000000001166Focaccine farcite co|lorate              0000000000000000100@000000A
200138000100199022201380000001166Pizza Formaggi      |                    0000000000000000100@000000A
200139000100219000000000000001166Pizza Pesto Pomodori| crema bufala       0000000000000000100@000000A
200140000100219000000000000001166Pizza zucchine e Ric|otta Salata         0000000000000000100@000000A
00014100010005951166Pane Cereali 1,1 kg |                    0000000000000000100@000000A
300141000100075000000000000001166Gran Ciabatta Cereal|i 1,1 kg            0000000000000000100@000000A
00014200010014951166Bastoncino cioccolat|o                   0000000000000000100@000000A
30014200010012901166Bastoncino cioccolat|o                   0000000000000000100@000000A
200143000100199000000000000001166Pizza Vegetariana   |                    0000000000000000100@000000A
200144000100199000000000000001166Pizza Zucca e Zola  |                    0000000000000000100@000000A
200145000100199000000000000001166Pizza salsiccia fung|hi zola             0000000000000000100@000000A
200146000100199022201460000001166Biscotti misti      |                    0000000000000000100@000000A
300148000100249022201480000001166Torta Strudel 1.1 kg|                    0000000000000000100@000000A
300147000100249022201470000001166Salame Cioccolato 1 |kg                  0000000000000000100@000000A
400159000100079080569774709111166Mix mignon          |                    0000000000000000100M000000A
400160000100039080569774709281166Mix eclair          |                    0000000000000000100M000000A
400151000100019080569774709351166Krapfen crema x 2   |                    0000000000000000100M000000A
