"id_article","description","total_weight","total_amount"
2446,"SEMOLINO FRITTO ALTO",0.852,10.72
2447,"SPINACI COTTI",11.864,117.12
2451,"TORTA PASQUALINA",1.408,24.66
2452,"TORTA SALATA SPINACI",12.594,212.85
2454,"VALDOSTANA PROSC",0.166,3.4
2458,"VOL AU VENT FONDUTA",0.376,7.11
2461,"SPIEDONI SURIMI",0.274,7.1
2466,"TORTA SAL. PROSCIUTT",0.856,16.18
2473,"CARCIOFI RIPIENI",2.076,36.36
2474,"SALAMINO CON CRAUTI",0.578,10.12
2477,"VOL AU VENT FORM. NO",0.466,8.81
2478,"COTOLETTA POLLO IMPA",1.45,28.85
2481,"POLPETTE FRITTE",6.814,135.58
2484,"POLPETTONE C/SPINACI",1.022,21.36
2487,"CHELE DI GRANCHIO",0.588,12.89
2509,"TORTINE DI BACCALà",0.412,10.68
2510,"SPIEDONI SURIMI GRIG",0.35,10.3
2516,"FLAN DI VERDURE",3.662,67.75
2521,"CANNOLO SICIL CIOCC",0.696,11.75
2522,"CANNOLO SICILIANO",3.894,65.79
2525,"CHANTILLYONI",2.616,51.02
2526,"CHIACCHIERE",1.678,22.66
2529,"DOLCE NOCE",4.788,80.92
2530,"FUNGO CIOCCOLATO",0.742,12.54
2536,"TORTINE DI BOSCO",0.174,2.94
2540,"ZEPPOLA AL FORNO",1.888,31.9
2541,"ZEPPOLA S GIIUSEPPE",1.596,25.56
2544,"CREME CARAMEL",2.12,27.36
2545,"DOLCE MELA",1.248,16.08
2547,"CROSTATA MELE TRANCI",1.2,20.28
2549,"PASTIERA NAPOLETANA",0.712,12.04
2550,"BUNET",3.676,62.1
2551,"TORTA DEL BOSCO",2.788,47.12
2552,"STRUDEL",0.704,11.9
2553,"TORTA AL LIMONE",0.512,8.66
2562,"DIPLOMATICO",0.67,11.33
2564,"PANE COMUNE EUROPANE",76.444,228.51
2565,"PANE SPECIALE EUROPA",2.558,12.79
2566,"FOCACCIA EUROPANE",0.152,1.5
2567,"PIZZA ROSSA EUROPANE",1.048,10.38
2568,"PIZZA FARCITA EUROPA",0.958,10.45
2569,"RASCHERA DOP",3.862,65.28
2576,"TRANCIO TIRAMISù",2.998,50.69
2592,"MILAN. POLLO CARPION",0.23,5.04
2599,"CRI CRI",0.314,4.68
2606,"BUGIE",5.046,54.99
2607,"PANE COMUNE DELIZIE",36.512,109.15
2608,"PANE SPECIALE DELIZI",0.444,2.22
2609,"PIZZA BIANCA DELIZIE",1.076,10.67
2610,"PIZZA FARCITA DELIZI",0.228,2.49
2611,"PIZZA ROSSA DELIZIE",1.084,10.74
2612,"SCHIACCIATINE",11.616,127.74
2617,"GRISSINI STIRATI DEL",8.146,64.36
2620,"GRISSINI OLIVE BROCC",2.176,32.43
2621,"GRISSINI NOCI BROCCO",5.714,85.16
2632,"PANE COMUNE VILLA",0.682,2.24
2664,"PANE COMUNE GAVA",1.3,4.28
2675,"FOCACCIA REGAL PAN",0.134,1.33
2687,"TOMA DEL CANAVESE",2.45,29.16
2690,"TUMIN DLA PLA",1,1.6
2692,"ROBIOLA NATURALE",0.144,2
2740,"TOMA DI PECORA",0.342,8.52
2772,"BRIOCHES DEMATTEIS",1,1.2
2776,"MORTADELLA FAVOLA C/",78.717,1487.72
