0202170002001690213887000000155PRIMOSALE SICILIANO PEPERONCINO T.A.     0010000006000000100P000000A
0202200002003990210374900000155CULATTA INT.SV KG.5 CA CAPANNA           0000000006000000100P000000A
0202210002001490210375100000155CULATTA CAPANNA FONDINO                  0010000006000000100P000000A
0202300002001790210333500000155PETTO POLLO FORNO KG.3 CA ITAL.VIANI     0000000006000000100P000000A
0202310002000790210333600000155FONDINO PETTO POLLO FORNO VIANI          0010000006000000100P000000A
0202320002001890210333900000155PETTO TACCHINO FORNO KG.3,8 CA VIANI     0000000006000000100P000000A
0202330002000790210334100000155FONDINO PETTO TACCHINO FORNO VIANI       0010000006000000100P000000A
0202430002001490219113000000155SCIMUDIN                                 0000000006000000100P000000A
0202450002001240218692000000155FORM.PIATTONE D.O.P.TAKE AWAY            0005000006000000100P000000A
0202510002002190219545000000155SPIANATA PICCANTE                        0000000006000000100P000000A
0202600002001490215612000000155GORGONZOLA DOP IGOR                      0000000006000000100P000000A
0202620002001490213780000000155GORGONZOLA IGORCREME T.A.                0005000006000000100P000000A
0202640002001490215126000000155BRIE PRESIDENT                           0000000006000000100P000000A
0202720002002590215218000000155PROSCIUTTO COTTO CUORE D'ORO             0000000006000000100P000000A
0202780002001990216092000000155TOMA ALTA LANGA                          0000000006000000100P000000A
0202800002002090216094000000155ROBIOLA BOSINA                           0000000006000000100P000000A
0202810002001990216095000000155ROCCHETTA ALTA LANGA                     0000000006000000100P000000A
0203050002001490215645000000155SEIRASS                                  0000000006000000100P000000A
0203060002002190213782000000155IL CACIO NERO DI PIENZA T.A.             0010000006000000100P000000A
0203080002001990210349200000155GORG.DOP DOLCE KG.5 CA S/CROSTA ARRIGONI 0000000006000000100P000000A
0203100002001690215073000000155RACLETTE                                 0000000006000000100P000000A
0203110002001690213788000000155TOMA DI LANZO T.A.                       0005000006000000100P000000A
0203190002001390215643000000155RICOTTA AL FORNO LIMONE                  0000000006000000100P000000A
0203220002001090216114000000155RICOTTA SARDA                            0000000006000000100P000000A
0203310002001990216296000000155LARDO DI ARNAD DOP                       0000000006000000100P000000A
0203330002001690213962000000155RICOTTA SALATA TESTA MORO                0010000006000000100P000000A
0203400002001690210000400000155SARDO FRESCO                             0000000006000000100P000000A
0203420002000399210026600000155TOMINO FRESCO G.340 CONRADO              0000000006000000100M000000A
0203450002001890210323800000155BRA DURO DOP KG.7 CA                     0000000006000000100P000000A
0203520002001890210323900000155BRA DURO DOP T.A.                        0005000006000000100P000000A
0203550002001990215108000000155FONTINA AOSTA DOP                        0000000006000000100P000000A
0203570002001390215143000000155ASIAGO DOP                               0000000006000000100P000000A
0203610002001590219964000000155FIOR DI GORG.DOP QUATTROROSE TAKE AWAY   0005000006000000100P000000A
0203690002001890215603000000155FETA GRECA                               0000000006000000100P000000A
0203700002001890212054000000155EMMENTALER SVIZZERO DOP                  0000000006000000100P000000A
0203710002001490215151000000155LEERDAMMER                               0000000006000000100P000000A
0203740002001490213790000000155LEERDAMMER T.A.                          0005000006000000100P000000A
0203780002000690210337200000155GUANCIALE NAZIONALE FONDINO COATI        0010000006000000100P000000A
0203790002001790215855000000155RASCHERA LATTE CRUDO DOP                 0000000006000000100P000000A
0203880002001490210156600000155PROVOLA BIANCA                           0000000006000000100P000000A
0203890002001490210156200000155PROVOLA BIANCA T.A.                      0005000006000000100P000000A
0204100002001670215833000000155TOMA PIEMONTE DOP                        0000000006000000100P000000A
0204200002002490214602000000155FORMAGGIO DI CAPRA AMALATTEA             0000000006000000100P000000A
0204210002002490213785000000155FORMAGGIO DI CAPRA AMALATTEA T.A.        0005000006000000100P000000A
0204310002001690210329200000155FOCACCIA AL FORMAGGIO                    0000000006000000100P000000A
0204320002001490214600000000155RICOTTA CAPRA                            0000000006000000100P000000A
0204370002002090215138000000155PROV.SPICCHIO CLAS.AUR.5 KG              0000000006000000100P000000A
0204380002002090214848000000155PROVOLONE PICCANTE AURICCHIO T.A.        0010000006000000100P000000A
0204410002002590210301700000155PANC.COTTA GIOVANNA KG.4,5 CA ARR.TA CAP 0000000006000000100P000000A
0204420002000399210355500000155CAMEMBERT G.250 3B LATTE                 0000000006000000100M000000A
0204430002002990210026200000155ROAST BEEF ALL'INGLESE                   0000000006000000100P000000A
0204440002002290215384000000155FIORETTO SARDO                           0000000006000000100P000000A
0204450002002590219647000000155PEC.FIORE SARDO DOP T.A.                 0010000006000000100P000000A
0204470002001990210355600000155PRIMOSALE CAPRA G.200 CA 3B LATTE        0000000006000000100P000000A
0204530002000339210115700000155PANE FRESCO COMUNE 00 - CARNERINI        0000000012000000100P000000A
0204630002001990210373700000155SALATINI ASSORTITI KG.4 BONCHEF          0001000006000000100P000000A
0204860002002390215132000000155PECORINO ROMANO                          0000000006000000100P000000A
0204960002001390210140100000155PANETTONE GENOV.BASSO C/GOCCE CIOCC      0030000006000000100P000000A
0204970002001390210141100000155PANETTONE GENOV.BASSO C/FRUTTA SECC      0030000006000000100P000000A
0205020002002790210340100000155CARPACCIO BRES.PA 1/2 SV KG.2,5 CA RIGAM 0000000006000000100P000000A
0205030002001490210339800000155FONDINO CARPACCIO BRESAOLA RIGAMON       0010000006000000100P000000A
0205050002001490215378000000155TZATZIKI                                 0000000006000000100P000000A
0205080002003190210373200000155CARNE SALADA 1/2 SV KG.2,5 CA SOSIO      0000000006000000100P000000A
0205090002002590215382000000155PECORINO FIORE SARDO DOP                 0000000006000000100P000000A
0205110002001290210373300000155CARNE SALADA SOSIO FONDINO               0010000006000000100P000000A
0205580002002190214444000000155TOMA MONTE CORNA KG.3,5 CA               0000000006000000100P000000A
0205590002002190214470000000155FORM.MONTE CORNA TAKE AWAY               0005000006000000100P000000A
0206020002001990218701000000155SPIANATA PICCANTE TAKE AWAY              0010000006000000100P000000A
0206050002001790215856000000155RASCHERA DOP T.A.                        0005000006000000100P000000A
0206080002000490218757000000155CROSTE DI FORMAGGIO                      0015000006000000100P000000A
0206090002001490219597000000155MORTADELLA GRANROSA                      0000000006000000100P000000A
0206110002001490210332900000155MORT.GRAN ROSA C/PIST.TRANCIO T.AWAY     0010000006000000100P000000A
0206130002000790210333100000155FONDINO MORT.GRAN ROSA C/PIST.           0010000006000000100P000000A
0206330002001690210373400000155SALAME COTTO ½ SV KG.1,8 CA BRIZIO       0000000006000000100P000000A
0206340002000845210373500000155SALAME COTTO BRIZIO FONDINO              0010000006000000100P000000A
0206350002002290210383400000155PORCHETTA DI ARICCIA IGP                 0005000006000000100P000000A
0206360002000990210383500000155PORCHETTA FONDINO                        0010000006000000100P000000A
0206390002001490214310000000155CACIOTTA BRUGNATO T.A.                   0005000006000000100P000000A
0206400002001990210384800000155FORM.CAPRA BAITA BOTALLA TA              0005000006000000100P000000A
0206410002001990210384700000155FORM.CAPRA BAITA KG.2 CA BOTALLA         0000000006000000100P000000A
0206660002001199210373900000155FOCACCIA LIGURE BASKO                    0000000010000000100P000000A
0206670002001299210388500000155FOCACCIA LIGURE C/CIPOLLA BASKO          0000000010000000100P000000A
0207010002003490210074400000155PROSCIUTTO CRUDO PARMA 15-16 MESI        0000000006000000100P000000A
0207230002001390218334000000155FARINATA                                 0000000010000000100P000000A
0207250002001790210352500000155PANCETTA BACON 1/2 KG.1,5 CA GASSER      0000000006000000100P000000A
0207260002001750210352600000155PANCETTA BACON GASSER TRANCIO            0010000006000000100P000000A
0207270002000890210352700000155PANCETTA BACON GASSER FONDINO            0010000006000000100P000000A
0207320002001590210131300000155CRUDO FONDINO DEVODIER S/O T.A.          0010000006000000100P000000A
0207330002001590210131400000155CRUDO FONDINO CAPANNA C/O                0010000006000000100P000000A
0207340002001590210131600000155CRUDO FONDINO CAPANNA                    0010000006000000100P000000A
0207350002001690210131700000155CRUDO FONDINO S.DANIELE C/O              0010000006000000100P000000A
0207370002000995210241200000155FONDINO FIOCCO VALTELL.PEDRANZINI        0010000006000000100P000000A
0208020002000690218340000000155CROSTATA ALLA CONFETT.DI FRUT.BOSCO      0035000006000000100P000000A
0208050002000690217937000000155CROSTATA DI CONFETTURA DI ALBICOC.       0035000006000000100P000000A
0208180002002390213784000000155MORO DI SARDEGNA T.A.                    0010000006000000100P000000A
0208190002000990213777000000155CACIOTTA BOSCO GEROLO T.A.               0005000006000000100P000000A
0208280002001499214680000000155PIZZA MARGHERITA CON OLIVE               0000000010000000100P000000A
0208290002001690216127000000155SARDO FRESCO                             0000000006000000100P000000A
0208300002001690214919000000155SARDO FRESCO T.A.                        0005000006000000100P000000A
0208320002002590214828000000155SALAME GOLFETTA                          0000000006000000100P000000A
0208510002002990210269700000155PROSC.SERRANO S/O KG.5 CA ET.ORO 12M     0000000006000000100P000000A
0208540002001090210199300000155FONDINO CIMA GENOVESE CIMMA ZENEISE      0010000006000000100P000000A
0208670002002190217810000000155CIMA GENOVA CIMMA ZENEISE T.A.           0010000006000000100P000000A
0208720002001790217733000000155GRANA PADANO DOP T.A.                    0015000002000000100P000000A
0208730002001990217732000000155PARMIGIANO  REGGIANO DOP T.A.            0015000002000000100P000000A
0208750002002490210107300000155PARMIGIANO REGGIANO DOP 30 MESI T.A.     0015000002000000100P000000A
0208770002000990217746000000155FONTAL TAKE AWAY                         0005000006000000100P000000A
0208790002002090210107200000155GRANA PADANO DOP 20 MESI T.A.            0015000002000000100P000000A
0208940002002290219223000000155FIORETTO SARDO T.A.                      0010000006000000100P000000A
0208950002002390217742000000155PECORINO ROMANO DOP T.A.                 0010000006000000100P000000A
0208970002001890217740000000155EMMENTALER SVIZZERO DOP                  0005000006000000100P000000A
