NEGOZIO;TICKET;DATA;REPARTO;FORMATO;PLU;DESCRIZIONE;IVA;PESO;IMPORTO;PREZZO AL KG
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);174;02/10/2024 08:22;2;T;126;FOND ARISTA  AL FORNO;0.000;0.314;3.140;10.000
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);175;02/10/2024 08:22;2;T;126;FOND ARISTA  AL FORNO;0.000;0.314;3.140;10.000
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);176;02/10/2024 08:23;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.314;4.360;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);177;02/10/2024 08:38;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.098;1.750;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);177;02/10/2024 08:38;2;T;531;MANZO AFFUMICATO;0.000;0.106;2.000;18.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);182;02/10/2024 09:06;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.098;2.540;25.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);188;02/10/2024 09:18;3;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.206;2.860;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);189;02/10/2024 09:20;3;T;736;INVOLTINO CON RUSSA;0.000;0.132;1.830;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);192;02/10/2024 09:38;2;T;558;LARDO RUSTICO BIANCO;0.000;0.148;2.210;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);192;02/10/2024 09:38;2;T;525;PORCHETTA ARROSTO;0.000;0.162;2.410;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);194;02/10/2024 09:41;1;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.154;1.520;9.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);194;02/10/2024 09:41;1;T;551;SALAME MILANO;0.000;0.106;1.470;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);195;02/10/2024 09:43;1;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.100;0.990;9.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);195;02/10/2024 09:43;1;T;531;MANZO AFFUMICATO;0.000;0.108;2.040;18.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);199;02/10/2024 09:48;3;T;668;"INSALATA RUSSA CON TONNO ""GIALLO UOVO""VALLEBELBO";0.000;0.190;2.640;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);200;02/10/2024 09:48;3;T;668;"INSALATA RUSSA CON TONNO ""GIALLO UOVO""VALLEBELBO";0.000;0.184;2.560;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);208;02/10/2024 10:02;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.158;2.830;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);208;02/10/2024 10:02;2;T;543;FESA DI TACCHINO ARROSTO;0.000;0.122;1.820;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);210;02/10/2024 10:08;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.172;2.390;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);210;02/10/2024 10:08;1;T;532;ROAST BEEF A FETTE;0.000;0.188;5.430;28.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);212;02/10/2024 10:10;1;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.156;1.860;11.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);216;02/10/2024 10:13;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.202;2.810;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);219;02/10/2024 10:14;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.204;2.840;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);227;02/10/2024 10:17;2;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.104;3.210;30.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);229;02/10/2024 10:26;2;T;531;MANZO AFFUMICATO;0.000;0.100;1.890;18.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);232;02/10/2024 10:27;2;T;26;ROBIOLA OSELLA;0.000;0.204;3.650;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);233;02/10/2024 10:29;2;T;506;SALAME MULETTA ALL'AGLIO;0.000;0.018;0.320;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);234;02/10/2024 10:30;2;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.146;4.510;30.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);235;02/10/2024 10:32;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.150;2.690;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);244;02/10/2024 10:43;2;T;567;LARDO RUSTICO ALLE ERBE;0.000;0.102;1.720;16.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);244;02/10/2024 10:43;2;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.106;3.280;30.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);245;02/10/2024 10:42;1;T;865;PANE COMUNE;0.000;0.198;0.550;2.790
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);246;02/10/2024 10:43;1;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.048;0.480;9.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);247;02/10/2024 10:45;2;T;543;FESA DI TACCHINO ARROSTO;0.000;0.096;1.430;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);248;02/10/2024 10:44;1;T;71;"PRIMO SALE BIANCO ""LONGO""";0.000;0.212;2.310;10.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);249;02/10/2024 10:46;1;T;661;ARANCINI DI PROSCIUTTO E MOZZARELLA;0.000;0.554;7.150;12.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);251;02/10/2024 10:48;3;T;543;FESA DI TACCHINO ARROSTO;0.000;0.110;1.640;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);252;02/10/2024 10:49;1;T;614;PEPERONI RIPIENI;0.000;0.240;3.100;12.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);256;02/10/2024 10:53;2;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.142;1.410;9.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);257;02/10/2024 10:56;2;T;531;MANZO AFFUMICATO;0.000;0.102;1.930;18.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);257;02/10/2024 10:56;2;T;548;SALAME CRESPONE;0.000;0.102;1.620;15.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);260;02/10/2024 11:05;2;T;147;"STRACCIATELLA ""SABELLI""";0.000;0.176;3.150;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);261;02/10/2024 11:10;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.102;1.210;11.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);261;02/10/2024 11:10;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.100;1.390;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);261;02/10/2024 11:10;2;T;506;SALAME MULETTA ALL'AGLIO;0.000;0.104;1.860;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);264;02/10/2024 11:11;1;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.124;2.220;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);264;02/10/2024 11:11;1;T;532;ROAST BEEF A FETTE;0.000;0.136;3.930;28.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);269;02/10/2024 11:15;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.160;2.860;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);269;02/10/2024 11:15;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.152;3.940;25.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);270;02/10/2024 11:13;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.166;2.310;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);274;02/10/2024 11:16;2;T;33;ROBIOLA ROCCHETTA;0.000;0.322;6.410;19.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);275;02/10/2024 11:16;2;T;71;"PRIMO SALE BIANCO ""LONGO""";0.000;0.190;2.070;10.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);276;02/10/2024 11:22;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.110;1.310;11.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);277;02/10/2024 11:22;2;T;508;PANCETTA ARROTOLATA NAZIONALE;0.000;0.114;1.470;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);282;02/10/2024 11:25;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.126;3.260;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);284;02/10/2024 11:28;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.228;3.170;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);284;02/10/2024 11:28;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.102;2.640;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);287;02/10/2024 11:30;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.210;2.920;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);303;02/10/2024 11:36;2;T;536;"SALAME "" IL GOLFETTA""";0.000;0.076;2.040;26.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);311;02/10/2024 11:41;2;T;616;INSALATA RUSSA NORMALE VOGLIAZZI;0.000;0.224;1.990;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);317;02/10/2024 11:44;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.316;3.760;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);328;02/10/2024 11:52;2;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.064;0.630;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);335;02/10/2024 11:57;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.098;1.360;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);335;02/10/2024 11:57;2;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.096;0.950;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);336;02/10/2024 12:04;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.202;2.400;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);336;02/10/2024 12:04;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.310;4.310;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);336;02/10/2024 12:04;2;T;551;SALAME MILANO;0.000;0.258;3.590;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);343;02/10/2024 12:08;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.182;4.710;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);343;02/10/2024 12:08;1;T;522;CARPACCIO NAZIOANALE DI BRESAOLA;0.000;0.110;3.180;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);344;02/10/2024 12:07;2;T;510;PANCETTA AFFUMICATA-BACON;0.000;0.150;2.390;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);351;02/10/2024 12:13;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.206;3.690;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);351;02/10/2024 12:13;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.158;4.090;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);351;02/10/2024 12:13;2;T;514;ARISTA  AL FORNO;0.000;0.104;1.860;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);363;02/10/2024 12:12;1;T;537;PROSC.COTTO A.QUALITA' GRAN BISCOTTO ROVAGNATI;0.000;0.140;4.330;30.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);365;02/10/2024 12:15;2;T;78;"RICOTTA DI PECORA ""CASEIF.MAREMMA""";0.000;0.168;1.500;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);367;02/10/2024 12:17;2;T;514;ARISTA  AL FORNO;0.000;0.108;1.930;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);368;02/10/2024 12:19;1;T;62;"RICOTTA IN FUSCELLE ""CASEIF.PUGLIESE""";0.000;0.190;1.880;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);373;02/10/2024 12:19;1;T;65;"TOMINO (PAGLINA) FRESCO ""LONGO""";0.000;0.214;2.330;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);374;02/10/2024 12:20;2;T;526;PROSC.COTTO A.QUALITA' NAZIONALE CUORE ROSA LENTI;0.000;0.212;4.430;20.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);379;02/10/2024 12:21;1;T;514;ARISTA  AL FORNO;0.000;0.108;1.930;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);382;02/10/2024 12:23;2;T;530;GIRELLO BOVINO COTTO PER VITELLO TONNATO;0.000;0.192;5.550;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);385;02/10/2024 12:25;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.164;2.280;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);394;02/10/2024 12:41;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.150;3.890;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);400;02/10/2024 12:45;2;T;78;"RICOTTA DI PECORA ""CASEIF.MAREMMA""";0.000;0.188;1.670;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);402;02/10/2024 12:47;2;T;531;MANZO AFFUMICATO;0.000;0.126;2.380;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);404;02/10/2024 12:48;2;T;71;"PRIMO SALE BIANCO ""LONGO""";0.000;0.182;1.980;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);416;02/10/2024 13:00;2;T;534;BRESAOLA PUNTA D'ANCA  IGP;0.000;0.108;3.770;34.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);416;02/10/2024 13:00;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.098;1.750;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);416;02/10/2024 13:00;2;T;510;PANCETTA AFFUMICATA-BACON;0.000;0.054;0.860;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);418;02/10/2024 13:04;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.104;1.450;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);418;02/10/2024 13:04;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.108;1.290;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);424;02/10/2024 13:09;2;T;531;MANZO AFFUMICATO;0.000;0.198;3.740;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);424;02/10/2024 13:09;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.210;2.920;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);427;02/10/2024 13:11;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.150;1.790;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);433;02/10/2024 13:12;2;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.152;1.810;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);434;02/10/2024 13:13;2;T;661;ARANCINI DI PROSCIUTTO E MOZZARELLA;0.000;0.188;2.430;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);434;02/10/2024 13:13;2;T;688;CROCCHETTE PATATE;0.000;0.124;1.100;8.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);435;02/10/2024 13:15;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.234;3.250;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);437;02/10/2024 13:18;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.120;1.670;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);441;02/10/2024 13:28;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.108;1.930;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);442;02/10/2024 13:30;2;T;630;PATE' PROSCIUTTO MONOPORZIONI;0.000;0.158;2.990;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);448;02/10/2024 13:39;3;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.096;0.950;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);452;02/10/2024 13:45;1;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.100;1.790;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);453;02/10/2024 13:47;1;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.076;1.360;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);453;02/10/2024 13:47;1;T;557;TESTA DI SUINO IN CASSETTA-GALANTINA;0.000;0.040;0.640;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);459;02/10/2024 13:50;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.214;5.540;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);468;02/10/2024 14:08;1;T;508;PANCETTA ARROTOLATA NAZIONALE;0.000;0.056;0.720;12.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);474;02/10/2024 14:21;1;T;534;BRESAOLA PUNTA D'ANCA  IGP;0.000;0.112;3.910;34.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);504;02/10/2024 14:50;1;T;546;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.000;0.294;3.500;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);505;02/10/2024 14:57;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.170;4.400;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);505;02/10/2024 14:57;1;T;531;MANZO AFFUMICATO;0.000;0.106;2.000;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);572;02/10/2024 15:51;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.230;3.200;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);574;02/10/2024 16:10;3;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.260;3.610;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);575;02/10/2024 16:11;3;T;25;"CERTOSA ""GALBANI""";0.000;0.286;3.120;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);577;02/10/2024 16:13;3;T;55;TOMINI LONGO SOTT'OLIO SALSA VERDE;0.000;0.132;2.230;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);578;02/10/2024 16:14;3;T;56;TOMINI LONGO SOTT'OLIO AL PEPERONCINO;0.000;0.122;2.060;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);584;02/10/2024 16:28;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.210;5.440;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);585;02/10/2024 16:29;1;T;71;"PRIMO SALE BIANCO ""LONGO""";0.000;0.228;2.490;10.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);586;02/10/2024 16:39;1;T;89;"BURRATA ""PIACERI ITALIANI""";0.000;0.346;6.190;17.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);587;02/10/2024 16:41;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.108;2.800;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);589;02/10/2024 17:08;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.276;7.150;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);592;02/10/2024 17:25;1;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.152;1.500;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);593;02/10/2024 17:29;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.152;3.940;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);594;02/10/2024 17:37;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.220;3.060;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);595;02/10/2024 17:38;1;T;531;MANZO AFFUMICATO;0.000;0.112;2.120;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);596;02/10/2024 17:51;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.212;2.950;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);597;02/10/2024 17:53;1;T;557;TESTA DI SUINO IN CASSETTA-GALANTINA;0.000;0.160;2.540;15.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);598;02/10/2024 17:54;1;T;531;MANZO AFFUMICATO;0.000;0.212;4.010;18.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);599;02/10/2024 17:55;1;T;733;PROSCIUTTO PARIGINA;0.000;0.262;3.120;11.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);600;02/10/2024 17:57;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.258;3.590;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);601;02/10/2024 17:58;1;T;515;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.000;0.114;1.130;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);603;02/10/2024 18:01;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.168;2.340;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);604;02/10/2024 18:03;1;T;62;"RICOTTA IN FUSCELLE ""CASEIF.PUGLIESE""";0.000;0.244;2.420;9.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);605;02/10/2024 18:05;1;T;562;PETTO DI POLLO ARROSTO ITALIANO;0.000;0.106;1.790;16.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);606;02/10/2024 18:11;3;T;543;FESA DI TACCHINO ARROSTO;0.000;0.160;2.380;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);607;02/10/2024 18:12;3;T;543;FESA DI TACCHINO ARROSTO;0.000;0.200;2.980;14.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);609;02/10/2024 18:15;1;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.120;3.110;25.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);610;02/10/2024 18:17;1;T;530;GIRELLO BOVINO COTTO PER VITELLO TONNATO;0.000;0.202;5.840;28.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);611;02/10/2024 18:18;1;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.214;2.970;13.900
PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);612;02/10/2024 18:19;1;T;618;SALSA TONNATA;0.000;0.210;2.710;12.900
