"id_article","description","total_weight","total_amount"
6511,"BOCC.POLLO PIZZAIOLA",152.391,2118.35
6514,"STRACC.BOVINO CARCIO",46.184,800.04
6523,"AGNELLO AL VERDE",3.250,51.67
6525,"SALAME ROSETTA BOREL",1.622,42.01
6526,"FILETTO DI SPALLA BO",49.654,850.52
6527,"DIAFRAMMA BOV.AD.",11.586,149.46
6528,"FOGLIA BOV.AD.",13.742,213.03
6529,"COSCIA ROTONDA VITEL",18.184,452.77
6530,"BOMBETTE PUGLIESI SU",33.702,670.68
6531,"SCAMONE CASTRATO BOV",3.744,93.23
6532,"COSCIA ROTONDA CASTR",1.086,29.21
6533,"BRUTTO E BUONO CASTR",4.258,84.74
6534,"ARR. VENA CASTRATO B",5.764,126.23
6535,"STINCO C/O CASTRATO",2.262,35.97
6540,"BOMBETTE SFIZ. PROVO",13.622,243.84
6542,"LONZA PRUGNE,FICHI,A",1.318,24.91
6543,"MINI PANETTONI",5.031,90.95
6549,"SALSICCIA PROVOLA E",15.928,189.52
6551,"MILANESI BOV. MAIS",2.940,46.75
6554,"SALAME ALBERELLO",1.988,45.52
6556,"CAPOCOLLOC/OSSOBARBE",0.506,4
6560,"CAPOCOLLO C/OSSO AL",0.928,7.33
6561,"BOCC.POLLO RADICCHIO",132.752,1836.68
6566,"CUORE DI SALAME",0.680,13.53
6610,"COSCIA VITELLO",0.564,11.22
6618,"HAMBURGER BOV.PARMIG",8.990,124.97
6656,"CAPOCOLLO S/OSSO",401.176,4297.63
6657,"SALSICCIA DI POLLO",129.201,1247.51
6658,"ROLATA AGN.FRITTATA",0.004,0.07
6659,"SPEZZATINO BOSCAIOLA",60.388,822.40
6667,"FILETTO SUINO AROM.",0.402,5.99
6669,"POLENTINI",2.916,37.62
6675,"ROLATINA BOVINO",0.426,6.35
6677,"AGNELLO SARDO IGP",246.765,3609.28
6701,"FILETTO CASTRATO",1.603,63.97
6702,"BOLLITO C/OSSO CASTR",7.114,113.10
6704,"ARROSTO CASTRATO",4.539,94.87
6705,"ARR.COSCIA CASTRATO",3.510,80.38
6706,"COSCIA CASTRATO",6.224,142.53
6707,"TENERONE CASTRATO",3.022,63.17
6708,"SOTTOFILETTO CASTRAT",4.030,104.37
6709,"POLPA SCELTA CASTRAT",4.710,93.73
6710,"AGNELLONE",5.532,96.81
6711,"COSCIA AGNELLONE",0.512,9.16
6713,"CARRE` AGNELLONE",17.626,438.88
6714,"ARROSTICINI AGNELLO",0.218,5.65
