"id_article","description","total_weight","total_amount"
209,"AGLIO ROSSO",0.39,0.39
211,"CASTAGNE MARRONI EXT",0.745,2.23
216,"INS. RADICCHIO VARIE",2.920,10.48
220,"MELE RED MELINDA DOP",1.235,1.23
224,"MELONI DINO SFUSI",0.560,1.96
225,"MELONE LISCIO",2.285,6.83
228,"MELE AMBROSIA",1.675,3.33
229,"UVA PANSE",2.295,13.54
230,"INS. RADICCH. ROSSO",42.815,143.26
231,"AR. NAVEL  SPREMUTA",2.845,2.81
232,"POM. COSTOLUTO EXTRA",57.160,351.80
233,"ARANCE SANGUINELLA",17.545,29.64
237,"FUNGHI OVULI REALI",1.26,7.43
239,"FAGIOLINI LIG. PELAN",0.82,4.34
240,"CLEMENTINE TACLE",1.85,7.37
244,"FUNGHI PORCINI",1.035,51.64
255,"NOCI",45.925,321.08
255,"NOCI CALIFORNIA SFUS",79.890,558.44
270,"MELE GOLDEN VALVENOS",62.630,135.24
277,"ARANCE VALENCIA",0.81,2.42
288,"CECI SFUSI",1.34,1.34
299,"COSTE COLORATE",4.295,19.76
307,"POMODORINI COLORATI",0.58,1.73
310,"MELONE TAGL. ITA  2^",2.070,5.57
317,"CIPOL. BIANCA MARGHE",0.825,4.12
320,"PERE PACKAMS",3.160,10.40
327,"BANANE SFUSE",436.885,650.88
331,"PEPERONI CORNO COLOR",0.62,2.42
333,"POMODORO ROSSO DA SU",0.325,0.36
340,"POM. CUORE DI BUE EX",150.340,860.34
343,"PEPERONI ACETO VINAC",0.675,3.98
344,"INS. RADICCHIO ROSA",1.075,6.34
345,"ZUC.MUSCADE TAGL. IT",0.56,1.11
346,"ARANCE NAVEL FOGLIA",555.920,1395.19
347,"ROSETTE BROCCOLO",1.49,8.92
348,"CAVOLFIORE ARANCIONE",0.64,1.91
349,"CAVOLFIORE VIOLA",3.855,22.74
350,"PATATE NOVELLE",101.400,170.33
351,"FRAGOLE  SFUSE",0.25,2
351,"FRAGOLE DI CASTIGLIO",1.135,7.83
354,"MELE ENVY",71.725,202.99
359,"POMOD. DATT. GIALLO",10.640,85.00
365,"PERE ABATE CASSA",0.70,4.13
366,"PATATE P.GIALLA TOND",1.28,1.25
367,"ZUCCHINI BIAN. FIORE",54.195,225.42
370,"CLEMENTINE FOGLIA",633.805,1682.56
371,"CLEMENTINE ORRI",272.645,1087.74
374,"ZUCCH.BIANCHE EXTRA",0.87,6.95
376,"ANANAS MATURATO IN P",32.215,92.64
377,"CIPOLLA MISTA CANNAR",1.11,1.11
378,"CIPOLLA CANNARA ROSS",1.530,1.54
399,"UVA NERA BLACK MAGIC",3.160,11.03
400,"CIP. ROSSA TROPEA IG",1.075,12.90
402,"ANGURIE EXTRA",1.435,5.15
415,"PRUGNE SCURE",0.41,0.82
417,"ZUCCA BUTTERNUT",6.835,9.50
420,"BANANE DOLE",1612.140,3142.40
423,"ANGURIA MINI TAGLIAT",0.77,2.07
424,"MELONE GIALLO TAGLIA",0.93,2.04
600,"TAGLIO PREZZO 0,99",278.925,276.12
601,"TAGLIO PREZZO 1,48",581.030,859.95
602,"TAGLIO PREZZO 1,99",35.675,71.02
603,"TAGLIA PREZZO 0,50",3,1.5
604,"TAGLIO PREZZO 0,99 P",16,15.84
605,"TAGLIO PREZZO 2,49 K",2.305,5.74
606,"TAGLIO PREZZO 2,99 K",0.53,1.58
607,"TAGLIO PREZZO 1,50 P",13,19.5
751,"PERE ABATE",0.885,0.89
2200,"PR.PARM DOP STAG PRE",0.800,23.92
2220,"MORTADELLA S/PISTACC",0.695,9.17
2224,"ZAMPINO",1.135,21.45
2270,"FILETTI DI SGOMBRO",0.61,21.11
2299,"FOC. MELAN/POMOD PUG",1.335,17.22
2300,"ANGUILLA MARINATA",0.235,11.73
2322,"GORGO MASC/NOCI",0.995,22.29
2337,"ANT. NONNA BETTA",0.39,5.85
2377,"INSALATA MONTECARLO",0.39,6.2
2999,"FONDINO",1.34,9.37
6363,"ALI MEDITERRANEA",1.12,8.85
