Campomorone Mace 1 29079690 -> 759958772
C/so Armellini Mace Master 29079674 -> 554194367
Bilancia test Basko -> 868024078
Via Melegari Mace Master 29080797 -> 853574412
Martinetti Pesce Master 29079681 -> 594788700
C/so Armellini Gastro Slave 1 29080743 -> 850356131
C/so Armellini Gastro Slave 2 29080729 -> 849865624
Via Melegari Orto Master 29080739 -> 853578858
Soziglia Gastro Master 29080747 -> 623800967
Martinetti Orto Master 29075492 -> 167754680
C/so Armellini Gastro Master 29080762 -> 850359646
C/so Armellini Pesce Slave 1 29078735 -> 535077590
Genova Fereggiano Gastro -> 1024742034
Sarzano Gastro Master 29079876 -> 555529749
Lomellini Gastro Master 29080798 -> 501358071
Martinetti Mace Master 29071004 -> 910001826
C/so Armellini Pane Master 29078723 -> 554216316
Martinetti Gastro Master 29071926 -> 133417920
Lomellini Orto Master 29079703 -> 874491708
C/so Armellini Pesce Master Nuovo 29080773 -> 854818152
Via Melegari Orto Slave 29080732 -> 853575937
Via Melegari Gastro Slave 29080764 -> 853573434
Via Melegari Pesce Pensile Master 29078875 -> 853429558
Passo Barsanti Orto Slave 29076398 -> 542893779
Martinetti Pane Self (bassa piccola) 29078988 -> 812297252
Avosso Gastro Master -> 494856032
Martinetti Orto Slave 29078731 -> 594789064
Avosso Mace  29079868 -> 608137454
Via Melegari Gastro Master 29080763 -> 853572596
C/so Armellini PC -> 1857154895
C/so Armellini Orto Master 29080761 -> 849966553
C/so Armellini Box Master 29080744 ? -> 849875386
Avosso Pane 858072112
C/so Armellini Pesce Master -> 555510170
Passo Barsanti Gastro Slave 29078138 -> 494825020
C/so Armellini Orto Slave 29080798 -> 850345871
Passo Barsanti Gastro Master 29078141 -> 494801570
C/so Armellini Mace Slave 29079865 -> 558270988
Passo Barsanti Mace Master -> 393143086
Via Melegari Pane Master 29080742 -> 853600718
Avosso Orto 29079687 -> 554250583
Martinetti Gastro Slave 29079704 -> 608066996
Avosso Pescheria Nuova -> 566213955
Passo Barsanti Orto Master 29076396 -> 392982204
