0228486CROISSANT VUOTO                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228496CROISSANT ALBICOCCA                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228506CROISSANT NOCCIOLA                         Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228516RUSTICO LECCESE                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228526CROISSANT INTEGR MIELE                     Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228536KAISER SF                                  Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228546PANE CRISTALLO GRANDE                      Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228556TARTARUGONA                                Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228566SCHIOCCO                                   Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228576FILONE SEMOLA DI G.D.                      Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228586ROMBO                                      Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228596BAGUETTE MULTICEREALI                      Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228616CIABATTA ALLA PATATA                       Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228626SFILATINO MULTICEREALI                     Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228636BAGUETTE                                   Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228646BREZEL                                     Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228656PIZZETTA MARGHERITA                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
02286665 CROISSANT ASSORTI                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0228906MONTANARINA                                Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0221276MUFFIN TRIPLO CIOC                         Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0221286MUFFIN MIRTILLI                            Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0221206KRAPFEN ALBICOCCA                          Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0221216MUFFIN ALBICOCCA                           Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0229806WAFFLE                                     Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0226606PANINI AL LATTE                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0226616MICHETTA SOFFIATA                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0226556SFILATINO OLIVE                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0226576FOCACCINA                                  Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0229946GRANSOLE INTEGRALE                         Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0229956RUSTICO SPINACI                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0226886PANE AVENA E SEMI                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227346MUFFIN NUTELLA                             Prodotto decongelato                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227356CROISSANT NUTELLA                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227366MINI CROISS CIOCC                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227386MINI CROISS ALBIC                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227396MINI CROISS VUOTO                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0229826ERBAZZONE                                  Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227926PANE HAMB. SESAMO                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227826PANE HAMB AVENA                            Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227836BONBON CIOCCOLATO                          Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227846FOCACCIA POMOD                             Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227856FOC. CIPOLLA                               Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227866FOCAC STRACCHINO                           Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227876FOCACCIA                                   Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0227886FOCACCINA G.ANTICHI                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0232096TRECCINA NOCI PECAN                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
0832096TRECCINA NOCI PECAN                        Prodotto ottenuto da base parzialmente cotta e surgelata, dorato in questo Punto Vendita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  000000
