"id_article","description","total_weight","total_amount"
378,"CIPOLLA CANNARA ROSS",0.495,0.5
379,"PINOLI",0.4,2.36
399,"UVA NERA BLACK MAGIC",0.55,1.92
400,"CIP. ROSSA TROPEA IG",0.845,10.13
420,"BANANE DOLE",907.545,1757.87
600,"TAGLIO PREZZO 0,99",45.210,44.74
601,"TAGLIO PREZZO 1,48",5.400,7.98
602,"TAGLIO PREZZO 1,99",0.685,1.37
606,"TAGLIO PREZZO 2,99 K",1.080,3.22
607,"TAGLIO PREZZO 1,50 P",2,3.0
2240,"ACQUADELLE MARINATE",1.705,42.45
2259,"POMODORI SECCHI",1.015,19.18
2278,"PANE SPECIALE DEMATT",1.320,6.58
2299,"FOC. MELAN/POMOD PUG",0.195,2.52
2300,"ANGUILLA MARINATA",0.55,27.45
2330,"PANZEROTTI GRAN RIPI",0.185,2.76
2370,"CAPRICCIOSA RADICCHI",0.96,12.38
2522,"CANNOLO SICILIANO",1,16.9
2700,"AGNOLOTTI",1.075,16.02
2770,"CHIOCCIOLA PERLE DI",1,1.5
2778,"PEPER CREMA BALSAM",0.285,6.24
2788,"PIZZETTA PROSCIUTTO",1.135,2.73
3117,"PASTA AL PESTO BC",0.99,14.75
6186,"ALI ALLA SICILIANA",0.38,3
